"";"name";"name_url";"authors";"type";"description";"link_download_citations"
"1";"Wheat conference";"https://link.springer.com/article/10.1007/BF00040368";"Euphytica (1990)";"Article";"
      
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00040368?format=refman&flavour=citation"
"2";"Role of chromosome 3A in stomatal resistance of winter wheat";"https://link.springer.com/article/10.1007/BF00023552";"Euphytica (1992)";"Article";"
      
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00023552?format=refman&flavour=citation"
"3";"Inheritance of biotype E greenbug resistance in bread wheat CI 17882 and its relationship with wheat streak mosaic virus resistance";"https://link.springer.com/article/10.1007/BF00021870";"J. M. Tyler, J. A. Webster, E. E. Sebesta, E. L. Smith in Euphytica (1986)";"Article";"
      Genetic studies were conducted to determine the inheritance of biotype E greenbug resistance in CI 17882 (CI 15092/T. speltoides//Fletcher/3/4* Centurk), a wheat germplasm line previously released as resistant to...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00021870?format=refman&flavour=citation"
"4";"The introduction into bread wheat of a major gene for resistance to powdery mildew from wild emmer wheat";"https://link.springer.com/article/10.1007/BF00032033";"S. M. Reader, T. E. Miller in Euphytica (1991)";"Article";"
      A new source of resistance to wheat powdery mildew caused by Erysiphe graminis has been transferred to hexaploid bread wheat, Triticum aestivum, from the wild tetraploid wheat, Triticum dicoccoides. The donor was...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00032033?format=refman&flavour=citation"
"5";"Relation between wheat-rye crossability and seed set of common wheat after pollination with other species in the Hordeae";"https://link.springer.com/article/10.1007/BF00033667";"Julian B. Thomas, P. J. Kaltsikes, R. Glenn Anderson in Euphytica (1981)";"Article";"
      Cultivars of common wheat (Triticum aestivum L. em. Thell.) of high wheat-rye (Secale cereale...L.) crossability set more seed with pollen of other related species than did wheats of low wheat-rye crossability. T...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00033667?format=refman&flavour=citation"
"6";"Cytological identification of 1B/1R wheat-rye translocations in winter wheat breeding lines";"https://link.springer.com/article/10.1007/BF00023526";"A. Lane Rayburn, Brett F. Carver in Euphytica (1988)";"Article";"
      The incorporation of rye (S. cereale L.) chromatin into winter wheat (T. aestivum...L.) cultivars is often achieved via hybridization of unadapted wheat-rye translocation lines with adapted wheat germplasm. Ident...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00023526?format=refman&flavour=citation"
"7";"Genetic and environmental variability in wheat characteristics reported to be involved in morphological resistance to wheat stem rust";"https://link.springer.com/article/10.1007/BF00032077";"B. Skovmand, Roy D. Wilcoxson, R. E. Heiner in Euphytica (1977)";"Article";"
      Four morphological characteristics of wheat peduncles were evaluated for genetic and environmental...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00032077?format=refman&flavour=citation"
"8";"Environmental stability of partial resistance in spring wheat to wheat leaf rust";"https://link.springer.com/article/10.1007/BF00037531";"L. H. M. Broers, J. E. Parlevliet in Euphytica (1989)";"Article";"
      Five spring wheat cultivars differing in partial resistance (PR) to wheat leaf rust were tested at Wageningen (the...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00037531?format=refman&flavour=citation"
"9";"Chromosomal location of genes for resistance to powdery mildew in common wheat (Triticum aestivum L. em Thell.). 8. Gene Pm32 in a wheat-Aegilops speltoides translocation line";"https://link.springer.com/article/10.1023/A%3A1025738513638";"S.L.K. Hsam, I.F. Lapochkina, F.J. Zeller in Euphytica (2003)";"Article";"
      The wheat-Aegilops speltoides translocation line L501 exhibits a disease response pattern distinctive from that of documented powdery mildew genes after inoculation with differential Blumeria graminis tritici iso...
    ";"https://citation-needed.springer.com/v2/references/10.1023/A:1025738513638?format=refman&flavour=citation"
"10";"Hybrid wheat. VII. Tests on the transmission of cytoplasmic male sterility in wheat by embryo-endosperm grafting";"https://link.springer.com/article/10.1007/BF00056245";"J.-R. Lacadena in Euphytica (1968)";"Article";"
      Embryo-endosperm graftings have been made in order to investigate the possible asexual transmission of cytoplasmic male sterility in wheat using normal (B-lines) and male...
    ";"https://citation-needed.springer.com/v2/references/10.1007/BF00056245?format=refman&flavour=citation"
