"";"name";"name_url";"authors";"type";"description"
"1";"Wheat conference";"https://link.springer.com/article/10.1007/BF00040368";"Euphytica (1990)";"Article";"
      
    "
"2";"Role of chromosome 3A in stomatal resistance of winter wheat";"https://link.springer.com/article/10.1007/BF00023552";"Euphytica (1992)";"Article";"
      
    "
"3";"Inheritance of biotype E greenbug resistance in bread wheat CI 17882 and its relationship with wheat streak mosaic virus resistance";"https://link.springer.com/article/10.1007/BF00021870";"J. M. Tyler, J. A. Webster, E. E. Sebesta, E. L. Smith in Euphytica (1986)";"Article";"
      Genetic studies were conducted to determine the inheritance of biotype E greenbug resistance in CI 17882 (CI 15092/T. speltoides//Fletcher/3/4* Centurk), a wheat germplasm line previously released as resistant to...
    "
"4";"The introduction into bread wheat of a major gene for resistance to powdery mildew from wild emmer wheat";"https://link.springer.com/article/10.1007/BF00032033";"S. M. Reader, T. E. Miller in Euphytica (1991)";"Article";"
      A new source of resistance to wheat powdery mildew caused by Erysiphe graminis has been transferred to hexaploid bread wheat, Triticum aestivum, from the wild tetraploid wheat, Triticum dicoccoides. The donor was...
    "
"5";"Relation between wheat-rye crossability and seed set of common wheat after pollination with other species in the Hordeae";"https://link.springer.com/article/10.1007/BF00033667";"Julian B. Thomas, P. J. Kaltsikes, R. Glenn Anderson in Euphytica (1981)";"Article";"
      Cultivars of common wheat (Triticum aestivum L. em. Thell.) of high wheat-rye (Secale cereale...L.) crossability set more seed with pollen of other related species than did wheats of low wheat-rye crossability. T...
    "
"6";"Cytological identification of 1B/1R wheat-rye translocations in winter wheat breeding lines";"https://link.springer.com/article/10.1007/BF00023526";"A. Lane Rayburn, Brett F. Carver in Euphytica (1988)";"Article";"
      The incorporation of rye (S. cereale L.) chromatin into winter wheat (T. aestivum...L.) cultivars is often achieved via hybridization of unadapted wheat-rye translocation lines with adapted wheat germplasm. Ident...
    "
"7";"Genetic and environmental variability in wheat characteristics reported to be involved in morphological resistance to wheat stem rust";"https://link.springer.com/article/10.1007/BF00032077";"B. Skovmand, Roy D. Wilcoxson, R. E. Heiner in Euphytica (1977)";"Article";"
      Four morphological characteristics of wheat peduncles were evaluated for genetic and environmental...
    "
"8";"Environmental stability of partial resistance in spring wheat to wheat leaf rust";"https://link.springer.com/article/10.1007/BF00037531";"L. H. M. Broers, J. E. Parlevliet in Euphytica (1989)";"Article";"
      Five spring wheat cultivars differing in partial resistance (PR) to wheat leaf rust were tested at Wageningen (the...
    "
"9";"Chromosomal location of genes for resistance to powdery mildew in common wheat (Triticum aestivum L. em Thell.). 8. Gene Pm32 in a wheat-Aegilops speltoides translocation line";"https://link.springer.com/article/10.1023/A%3A1025738513638";"S.L.K. Hsam, I.F. Lapochkina, F.J. Zeller in Euphytica (2003)";"Article";"
      The wheat-Aegilops speltoides translocation line L501 exhibits a disease response pattern distinctive from that of documented powdery mildew genes after inoculation with differential Blumeria graminis tritici iso...
    "
"10";"Hybrid wheat. VII. Tests on the transmission of cytoplasmic male sterility in wheat by embryo-endosperm grafting";"https://link.springer.com/article/10.1007/BF00056245";"J.-R. Lacadena in Euphytica (1968)";"Article";"
      Embryo-endosperm graftings have been made in order to investigate the possible asexual transmission of cytoplasmic male sterility in wheat using normal (B-lines) and male...
    "
"11";"Gene Pm6 for resistance to powdery mildew in wheat";"https://link.springer.com/article/10.1007/BF00022656";"J. Helmsj∅rgensen, C. J. Jensen in Euphytica (1973)";"Article";"
      
    "
"12";"H.-J. Braun, F. Altay, W.E. Kronstad, S.P.S. Beniwal & A. McNab (Eds). 1997. Wheat: prospects for global improvement.";"https://link.springer.com/article/10.1023/A%3A1018371103933";"A.C. Zeven in Euphytica (1998)";"Article";"
      
    "
"13";"Chromosome numbers in Pugley's male sterile wheat";"https://link.springer.com/article/10.1007/BF00056239";"J. Waninge, A. C. Zeven in Euphytica (1968)";"Article";"
      An account is given of the chromosome number of Pugsley's male sterile wheat. It appears that this number varies greatly...
    "
"14";"Physiological responses of six bread wheat and durum wheat genotypes to water stress";"https://link.springer.com/article/10.1007/BF00021902";"C. Seropian, C. Planchon in Euphytica (1984)";"Article";"
      The responses of six wheat genotypes to water stress were analysed. Soil...w), photosynthesis (PN), stomatal resistance (rs) and transpiration (T) were measured during a water stress. The genotypes investigated d...
    "
"15";"Postulation of resistance genes to yellow rust in wild emmer wheat derivatives and advanced wheat lines from Nepal";"https://link.springer.com/article/10.1007/BF00025617";"S. Sharma, J. M. Louwers, C. B. Karki, C. H. A. Snijders in Euphytica (1995)";"Article";"
      Seedlings of 38 wild emmer derivatives, and a total of 53 advanced wheat varieties/lines introduced from the International Maize and Wheat Improvement Centre (CIMMYT) or other sources,...Yr). Many wild emmer wheat
    "
"16";"Inheritance and allelism of resistances to the Russian wheat aphid in seven wheat lines";"https://link.springer.com/article/10.1007/BF00025621";"Haishui Dong, James S. Quick in Euphytica (1995)";"Article";"
      Studies were conducted to determine the inheritance and allelic relationships of genes controlling resistance to the Russian wheat aphid (RWA), Diuraphis noxia (Mordvilko), in seven wheat germplasm lines previous...
    "
"17";"Wheat embryogenesis and haploid production in wheat × maize hybrids";"https://link.springer.com/article/10.1007/BF00027482";"J. Zhang, B. Friebe, W. J. Raupp, S. A. Harrison, B. S. Gill in Euphytica (1996)";"Article";"
      Embryogenesis was analyzed in wheat × maize hybrids using paraffin sectioning. Embryogenesis in wheat × maize hybrids is different from that in self-pollinated wheat plants. Development of the embryo is not ... c...
    "
"18";"Evaluation of chemical compounds for induction of male sterility in wheat (Triticum aestivum L.)";"https://link.springer.com/article/10.1007/s10681-006-9305-2";"Kajal Chakraborty, C. Devakumar in Euphytica (2006)";"Article";"
      
    "
"19";"Classification of landraces and improved cultivars of rivet wheat (Triticum turgidum) and bread wheat (T. aestivum) from Great Britain and described in 1934";"https://link.springer.com/article/10.1007/BF00024248";"A. C. Zeven in Euphytica (1990)";"Article";"
      Descriptions of landraces and improved cultivars of Triticum turgidum and T. aestivum grown in Great Britain, published by Percival (1934) were used to investigate between accession resemblance, and possible betw...
    "
"20";"Cytogenetical studies in wheat XVI. Chromosome location of a new gene for resistance to leaf rust in a Japanese wheat-rye translocation line";"https://link.springer.com/article/10.1007/BF00027060";"R. A. McIntosh, B. Friebe, J. Jiang, D. The, B. S. Gill in Euphytica (1995)";"Article";"
      A leaf rust resistant wheat-rye translocation stock, ST-1, introduced...Lr26, Yr9 and Sr31. A second type carried a new gene, Lr45..., located in a large segment of rye chromosome translocated to wheat chromosome...
    "
"21";"Screening for resistance to take-all in wheat, triticale and wheat-triticale hybrid lines";"https://link.springer.com/article/10.1007/BF00023304";"Hugh Wallwork in Euphytica (1989)";"Article";"
      Fifteen triticale and wheat-triticale hybrid lines were evaluated for resistance...Gaeumannomyces graminis var. tritici and compared with five wheat and two rye lines in inoculated field and pot trials. The triti...
    "
